id,filename,message,pitch,wpm,noise_power,amplitude
1.opus,1.opus,ГМЧВЧИВ8ФШ,811,31,21,51
2.opus,2.opus,Ы20РМПЙ,1359,32,28,78
3.opus,3.opus,ЙАЫЪТЕО,908,33,86,93
4.opus,4.opus,Б154ФМИ,1010,31,75,77
5.opus,5.opus,ЪЪ952НЬ# #,903,32,40,79
6.opus,6.opus,ДЛ ЛСИ64ЩХ,1941,32,36,111
7.opus,7.opus,00ЩЯПЦЮ,979,31,25,84
8.opus,8.opus,5ВШХЬРЙПБМ,1040,34,16,108
9.opus,9.opus,КЙ АЛОД,1425,34,43,118
10.opus,10.opus,ТХЬК48#Э,757,32,33,55
11.opus,11.opus,ЪФТ8ХБТ,519,32,11,73
12.opus,12.opus,6ЦГТК0С541,861,32,73,85
13.opus,13.opus,Ъ1ЩС9ССХХЯ,700,33,87,67
14.opus,14.opus,ЛГ3МРВЛЩ5,2003,33,66,42
15.opus,15.opus,998Х23КЖУИ,1876,32,25,119
16.opus,16.opus,Л751ЯГХГФ,1256,30,23,36
17.opus,17.opus,Д9Х3Ж8ЧФ,1608,34,32,74
18.opus,18.opus,#ФФЧ2Ф  Х,1748,30,54,43
19.opus,19.opus,ЙПНСРЯДЬХЮ,1637,34,83,103
20.opus,20.opus,9ЗРУИСМ,1943,34,39,69
21.opus,21.opus,Е#9РФЛП64,573,33,41,47
22.opus,22.opus,БНХМБЖ0,693,31,92,118
23.opus,23.opus,5РЧ ЗЧМ,1471,31,95,112
24.opus,24.opus,С4ЦДМЧ ВР,758,33,44,101
25.opus,25.opus,2МЪДЫБАГ,1220,30,95,118
26.opus,26.opus,#АЩАД0П,1298,34,26,88
27.opus,27.opus,#ТЧЪБН#,1828,33,24,104
28.opus,28.opus,ЕТ 5Т26,1162,31,35,63
29.opus,29.opus,9РН#Ъ3СДЛЖ,1038,34,95,87
30.opus,30.opus,Й 0Й9452,868,33,52,32
31.opus,31.opus,2ХЧ4ЙУ144,1914,31,16,31
32.opus,32.opus,ОИХЦЮЦ ЮЛ,853,30,57,78
33.opus,33.opus,2ЬКВЛГХА5С,586,34,16,114
34.opus,34.opus,РУПВКИЫ08,563,31,38,91
35.opus,35.opus,45Ь ЪДВ,1048,32,30,65
36.opus,36.opus,Щ4УД0РВ68К,1379,31,75,31
37.opus,37.opus,8ОШКУ2В,1922,34,10,51
38.opus,38.opus,5УЮЛ ХБД3Ц,1941,30,47,58
39.opus,39.opus,СУЕР6ЕЬКЦЯ,1069,30,21,59
40.opus,40.opus,Л22ЙЕИ4З,1548,30,32,47
41.opus,41.opus,Х8 1УЖБЩМТ,561,31,41,104
42.opus,42.opus,АШЗ54РУП,1101,34,82,112
43.opus,43.opus,Е РТТУ1,545,33,31,92
44.opus,44.opus,1ГЕХ9ЗТ,729,34,59,105
45.opus,45.opus,ГЦ02Д ЗИП,1111,30,93,111
46.opus,46.opus,ЮОШ2Ь0 ИЖЮ,874,32,91,31
47.opus,47.opus,ЗПЦЖЮ9ОЫЧ,1595,30,44,108
48.opus,48.opus,НПО ЮМПЖ,1896,34,20,101
49.opus,49.opus,Й3Я ЕЭФГКШ,1322,33,29,36
50.opus,50.opus,ОЦШ ШЦ 2ФИ,1391,34,19,101
51.opus,51.opus,Д3И Ш3Р4ЭП,2003,32,44,74
52.opus,52.opus,Ж9ЕПАЪЛ1ШЖ,665,33,41,65
53.opus,53.opus,ЧЗА0РГТ,1084,34,46,58
54.opus,54.opus,8ЫДЭ8ЕДЛЖЗ,1394,32,31,43
55.opus,55.opus,ЩЯЭЛЕГФБ,910,31,54,58
56.opus,56.opus,ЙЬВ2Ш 3,1283,31,91,45
57.opus,57.opus,66ЫЦМ6Я,1539,34,27,72
58.opus,58.opus,У5206МИЩН,1257,33,67,53
59.opus,59.opus,ХЧУШДРТ,1875,33,21,73
60.opus,60.opus,8ИК4Х5Т7Ъ,1617,33,43,65
61.opus,61.opus,А2КЙЛЧТЗЗ,890,31,66,96
62.opus,62.opus,ЦЩФПБРЙ8 В,845,34,24,80
63.opus,63.opus,З#Ж08ВЩ,877,30,78,59
64.opus,64.opus,ДХЦРПШХСФВ,934,33,97,46
65.opus,65.opus,6ПЕФДЖМВ,1941,34,24,86
66.opus,66.opus,ЕЕЩЯМАБЧР,1968,30,33,69
67.opus,67.opus,ЭДНГ9Д3Д,1333,32,51,84
68.opus,68.opus,ЛОМАЭБ4РКЛ,1119,31,82,112
69.opus,69.opus,9745Н57,1243,30,35,82
70.opus,70.opus,5НЫ2ФЖ6БРК,943,34,20,44
71.opus,71.opus,ХЖЕ4 Ш0,1752,30,81,54
72.opus,72.opus,ИРФЦ33ЮЧЦ,1502,30,70,70
73.opus,73.opus,ЮБОФ58С,739,34,47,91
74.opus,74.opus,Ь4ЯЕАШ0,1422,32,93,106
75.opus,75.opus,Ъ7 Щ4Ь Р,1288,30,83,118
76.opus,76.opus,#АХЩУИР  7,1491,34,26,42
77.opus,77.opus,Ф9С11ОА3Ч,1335,33,45,100
78.opus,78.opus,П741ЪЪЧ7Ф,1533,31,52,118
79.opus,79.opus,ЮШВВЪХ6Ц1,733,31,16,68
80.opus,80.opus,К 3 Р221 Ц,1372,30,23,54
81.opus,81.opus,АЪЦЯЕФ13,1139,34,85,72
82.opus,82.opus,4ГЙЩМ2ЦЯ,1304,33,34,78
83.opus,83.opus,5З#7Г##2П,1547,31,71,40
84.opus,84.opus,Л1ПЮЕР7З1Г,1800,30,96,55
85.opus,85.opus,Я9ГЪН0Д,1824,34,18,59
86.opus,86.opus,ЙШ5Е 9Л,1760,33,90,66
87.opus,87.opus,7890ЙЯФ7,1213,33,79,39
88.opus,88.opus,БДЕЖОУ05ЯД,1392,33,41,89
89.opus,89.opus,4Т7ЗЫСФЧ8,747,32,14,74
90.opus,90.opus,ЧЖТ2ЭБЫ,610,34,73,104
91.opus,91.opus,ЫВШ4УКДГФЦ,1411,31,42,33
92.opus,92.opus,П БО#2ВЬШ6,1999,33,55,61
93.opus,93.opus,ЙРЛАЧ17,1289,30,14,61
94.opus,94.opus,С3ЦЯЙ5К,966,33,65,101
95.opus,95.opus,ЬБ1ДЖЖМЪТ,2027,30,18,116
96.opus,96.opus,19ШОМ4РБУШ,1850,34,26,114
97.opus,97.opus,7А6Н Ж6ШХ,616,34,87,100
98.opus,98.opus,ЙНВХБ7ЙТФ,1009,34,83,70
99.opus,99.opus,ВПЬ8Ш22П82,1372,32,54,37
100.opus,100.opus,9М#ЕТОЯТЯ,813,30,40,53
101.opus,101.opus,ФЛЕП0ЧАРМ,1049,30,71,82
102.opus,102.opus,8ЦБНЦ ЛЭ5,1483,33,59,73
103.opus,103.opus,ЫЪ4 9СД4,1855,34,46,87
